,p,d,m
99,770,0,8139.764615
100,584,1,9233.100859
101,584,1,15216.43796
102,584,1,8725.679388
103,770,1,13079.1973
104,695,1,15909.78596
105,695,0,9605.524194
106,584,1,13193.89779
107,695,0,6827.996736
108,859,0,8545.585884
109,584,1,10431.53629
110,666,0,7332.597232
111,584,1,10167.78665
112,695,1,13504.3159
113,695,1,10592.43468
114,584,1,16654.73726
115,584,0,6845.631479
116,695,0,10184.69812
117,859,0,7400.36442
118,695,1,14475.71979
119,695,1,11278.4144
120,770,0,8289.438827
121,859,0,6587.979549
122,695,1,12422.08764
123,666,1,11010.76276
124,584,1,11667.58941
125,770,1,13912.67844
126,584,1,10093.67021
127,584,1,8549.19473
128,584,0,6664.549736
129,695,0,10237.08824
130,584,1,12892.52105
131,695,1,12325.91392
132,584,1,9806.116485
133,695,1,14118.31853
134,584,0,8965.158417
135,584,1,13484.21037
136,666,0,7572.779623
137,584,1,11333.54996
138,695,1,13048.0114
139,695,1,13554.40856
140,770,1,11176.28422
141,770,0,11271.14266
142,584,1,9040.272318
143,584,1,9643.053773
144,666,1,8320.101775
145,584,1,11654.96098
146,666,1,12058.75107
147,584,1,10069.93516
148,584,1,15926.19605
149,695,1,12230.98583
150,666,1,12032.15868
151,584,1,13109.49203
152,584,1,13381.21781
153,695,1,11790.03596
154,584,1,11146.17537
155,584,1,11311.42204
156,770,0,14298.89544
157,770,0,8702.436957
158,695,1,12576.33496
159,584,1,13962.39753
160,770,0,12794.96313
161,770,1,12455.29099
162,584,1,12129.97887
163,584,0,6115.70148
164,695,0,8681.323106
165,695,1,13967.86294
166,584,1,9850.774556
167,695,0,9228.634127
168,584,1,11811.47903
169,695,0,6465.683757
170,584,1,14269.91369
171,584,1,16122.52875
172,695,1,12344.69133
173,584,0,7439.61847
174,695,1,8322.826504
175,584,1,7379.427249
176,584,1,9024.959008
177,695,1,16235.76521
178,584,1,15164.21807
179,695,1,10553.92381
180,584,1,9441.40294
181,666,0,8370.864446
182,695,1,15240.31506
183,584,0,9471.99982
184,695,1,13824.87487
185,584,0,7644.195651
186,584,1,14992.58822
187,584,1,9877.559395
188,770,0,10918.05346
189,584,1,9753.372375
190,584,1,15061.91847
191,584,1,13270.43639
192,666,1,16017.70034
193,584,1,12687.46643
194,770,1,13982.32326
195,859,0,9810.285358
196,695,1,11192.55958
197,584,1,13823.84895
198,770,0,7299.583676
199,666,1,12404.76893
200,695,0,11542.01136
201,695,1,15012.3982
202,584,1,13758.678
203,584,1,8961.047806
204,695,0,7045.68752
205,770,0,8238.599923
206,695,1,11243.87767
207,584,1,9663.289813
208,666,0,7616.867996
209,584,1,10777.13746
210,584,1,11600.33322
211,770,0,8346.2551
212,584,1,8863.08003
213,584,1,11195.39939
214,584,1,7641.923501
215,695,0,9150.526537
216,584,1,11881.98657
217,584,1,11488.17066
218,584,1,13597.65454
219,695,0,9318.904958
220,695,1,14130.98
221,584,1,13758.84105
222,695,1,12272.84408
223,584,1,10638.53046
224,770,1,9672.353847
225,584,0,9602.646356
226,584,1,11740.42045
227,695,0,10562.80994
228,695,1,13525.36332
229,584,1,11624.76827
230,584,1,11477.6638
231,584,1,11167.61046
232,695,1,14369.26554
233,584,1,12058.26792
234,770,0,8202.473898
235,695,0,6974.28073
236,584,1,9839.455224
237,695,1,10511.74547
238,584,1,11211.53878
239,770,0,11898.86599
240,770,0,9832.550879
241,695,0,8062.605626
242,695,1,14355.98129
243,695,0,9718.58701
244,584,1,9938.993994
245,666,0,11008.90459
246,695,0,7921.646944
247,859,0,10912.31685
248,666,0,9021.069615
249,584,1,15568.51927
250,584,1,9683.249707
251,584,1,10796.27442
252,695,1,13928.32347
253,689,1,16037.16
254,584,1,11160.5439
255,695,1,10353.44095
256,584,1,10418.64138
257,695,1,10559.53227
258,666,1,9443.545659
259,695,1,12576.21901
260,584,1,9904.339899
261,584,1,11962.27013
262,695,1,12649.77311
263,584,0,7259.196343
264,695,1,10503.13841
265,584,1,10116.12131
266,666,0,10012.57449
267,695,1,12150.77496
268,584,1,8219.461321
269,584,1,8545.022132
270,666,1,7657.037316
271,584,1,8464.575277
272,584,0,6046.985793
273,584,1,13693.46972
274,666,1,11754.03412
275,584,1,9927.007396
276,584,0,7539.110707
277,666,1,13794.52111
278,666,1,12803.09353
279,584,1,8412.459915
280,770,1,12836.30144
281,584,1,7422.941279
282,584,1,9760.856686
283,695,1,13062.1138
284,584,1,12535.69538
285,695,1,11612.6165
286,584,1,13242.65624
287,584,1,9905.706466
288,584,1,6686.406926
289,859,0,10344.85404
290,666,1,8649.762877
291,689,0,7928.353763
292,859,0,11347.35753
293,584,1,9059.48601
294,584,1,10331.815
295,695,1,12198.087
296,584,1,11682.77669
297,584,1,9975.814585
298,695,1,10191.54169
299,695,1,11449.21262
300,695,1,12172.70762
301,695,0,9012.468237
302,695,1,10701.06343
303,695,1,12786.85682
304,770,1,14788.10565
305,695,0,9649.744305
306,584,1,10129.65592
307,584,1,11846.23026
308,770,1,15026.26977
309,770,1,13327.73473
310,695,0,8301.396609
311,584,0,9526.744791
312,695,0,8906.865717
313,666,1,10154.09376
314,584,1,11971.48352
315,666,1,15433.68989
316,666,1,11117.40884
317,584,0,10765.30464
318,584,1,9092.68325
319,695,1,13300.21201
320,584,1,10576.24967
321,770,1,10851.08957
322,666,0,6945.182091
323,859,1,12409.77258
324,695,1,12187.60908
325,695,0,7462.739588
326,770,0,8294.968153
327,695,0,8665.693332
328,695,0,8382.69154
329,695,1,10001.97384
330,584,1,11886.42523
331,695,1,12764.33875
332,689,1,13240.67587
333,770,1,13621.47585
334,695,0,10331.47571
335,584,1,10279.16281
336,584,0,9524.708027
337,695,0,8087.885978
338,770,1,13550.85142
339,584,1,11539.61812
340,666,1,12837.00957
341,689,0,9091.946039
342,584,1,11995.94721
343,695,1,12517.13866
344,695,0,7907.673342
345,584,1,12836.07106
346,584,1,11870.50149
347,584,1,13085.84085
348,770,1,10234.25347
349,695,1,15474.90913
350,695,1,11181.27728
351,770,0,8282.33719
352,770,1,13222.80222
353,666,1,10621.67444
354,584,1,10774.10076
355,770,0,7576.589173
356,695,0,10848.67788
357,584,1,12045.5227
358,584,1,10104.40716
359,695,1,10229.43726
360,666,1,13399.50854
361,584,1,9709.272594
362,695,0,8957.308366
363,584,1,14698.7349
364,695,1,12596.79706
365,584,1,14490.78621
366,666,1,12709.25373
367,695,0,10524.20371
368,584,1,13149.46906
369,584,1,11474.60645
370,584,1,14271.63292
371,666,1,12732.38489
372,584,1,10629.10137
373,770,0,7744.122943
374,666,1,11826.24338
375,584,1,10931.03292
376,584,1,11783.70022
377,584,1,9287.955425
378,584,1,10328.97376
379,859,0,10792.91268
380,584,1,9881.739879
381,666,1,13202.36942
382,770,0,10988.59279
383,584,1,8754.268033
384,770,1,11382.66737
385,695,1,12550.56174
386,666,1,11340.28332
387,584,1,13084.28299
388,584,1,11287.05379
389,584,1,7182.87135
390,584,1,9817.159158
391,584,1,10324.05347
392,584,1,11086.33704
393,666,1,11950.30908
394,666,1,10720.35364
395,584,1,11015.64913
396,695,1,12862.72746
397,584,1,13666.25757
398,584,1,11239.78156
399,770,0,9208.808628
400,584,1,12193.52366
401,584,0,9226.597278
402,584,1,13200.9628
403,584,1,10705.04677
404,584,1,10489.69651
405,584,1,13232.04673
406,584,0,8727.530851
407,584,1,10097.55831
408,584,1,13586.57495
409,584,1,9269.057045
410,770,0,8304.402664
411,666,1,10796.86973
412,770,0,8283.2167
413,695,1,12561.98937
414,695,0,11009.59782
415,695,1,12161.57348
416,770,0,8844.133262
417,584,1,9445.858572
418,584,1,10579.51126
419,584,1,10933.55738
420,859,0,13464.25155
421,770,0,9286.61474
422,770,0,10985.06525
423,584,1,12450.70036
424,584,1,10140.4189
425,584,1,10582.84834
426,584,1,18218.3585
427,584,1,10971.23641
428,584,1,14842.52626
429,695,1,11751.58103
430,859,1,16979.47373
431,584,1,7797.594223
432,770,1,12161.81153
433,770,0,11677.51674
434,584,1,5769.781284
435,584,1,9879.027114
436,584,1,5097.764251
437,770,0,10658.55111
438,695,1,11913.19516
439,584,1,11749.75861
440,859,0,11781.95345
441,695,0,10808.73854
442,695,1,11895.28781
443,584,1,12168.15445
444,584,0,8052.651892
445,666,1,12508.48796
446,695,1,10464.70136
447,666,1,10858.47944
448,695,1,14397.10575
449,584,1,11356.41643
450,584,1,14073.68599
451,770,0,9241.35114
452,584,1,13307.69215
453,770,0,8594.459915
454,695,1,12323.51358
455,584,1,10855.49125
456,695,1,11075.24396
457,584,1,11082.63836
458,584,1,12458.9326
459,666,0,6399.429745
460,689,1,10481.68112
461,584,1,10549.36288
462,584,1,11769.23029
463,695,1,12748.70085
464,584,1,9284.778083
465,584,1,10471.30292
466,695,0,9834.514656
467,584,1,11897.45256
468,666,0,6892.847812
469,584,0,7337.12704
470,695,0,9758.367222
471,584,1,9774.013663
472,695,1,13277.77561
473,695,0,10689.69753
474,770,0,10874.78035
475,584,0,9336.027247
476,584,1,12162.03739
477,695,1,14271.52063
478,584,1,12819.45429
479,695,0,9013.925043
480,584,1,8788.599704
481,584,1,16410.628
482,695,1,8043.047821
483,584,1,11563.61912
484,584,0,8129.90837
485,689,1,10599.26702
486,584,1,9598.812413
487,666,0,9356.897911
488,584,1,10800.86533
489,584,1,6808.660806
490,695,1,15447.07205
491,584,1,7195.205884
492,584,1,15611.82789
493,695,1,11573.29795
494,695,0,8151.54529
495,695,0,9976.600658
496,584,1,13234.30645
497,695,1,12527.61637
498,584,0,7926.469362
499,695,1,9871.673461
500,770,0,10316.38131
501,695,1,13535.90832
502,584,1,11005.18005
503,584,1,9740.602653
504,695,1,9740.433216
505,695,0,9134.622453
506,584,1,15311.40716
507,695,1,13461.83379
508,695,0,10062.0791
509,770,0,8260.529272
510,584,1,13545.2286
511,689,0,7720.37231
512,584,1,7932.91734
513,584,1,8359.710948
514,584,1,12639.0595
515,584,1,10783.00486
516,584,1,13888.08194
517,695,1,12120.01324
518,859,0,11112.96588
519,584,1,5624.944262
520,584,1,13626.05767
521,770,0,9974.286637
522,859,0,12425.25248
523,770,1,11444.78888
524,584,1,12161.30844
525,584,1,11235.49006
526,584,1,8344.009291
527,689,0,11500.01288
528,695,1,16202.4503
529,584,1,8673.853754
530,695,1,10229.00246
531,666,1,11173.5889
532,584,0,8676.53154
533,666,1,12785.72079
534,695,1,12785.27296
535,666,0,9027.718011
536,666,1,10541.83046
537,770,1,13243.88605
538,689,0,6964.059493
539,695,1,10707.15981
540,666,1,12921.00212
541,695,1,13583.52293
542,584,1,14470.08989
543,584,1,11585.14142
544,584,0,7678.296306
545,695,1,9870.041837
546,695,0,8953.133261
547,584,1,13693.9176
548,584,1,15375.97342
549,666,0,8312.741961
550,859,1,15318.44602
551,584,1,10117.68813
552,695,1,10527.30011
553,695,1,12292.56476
554,584,1,11944.53409
555,695,0,9132.283384
556,695,1,11479.20589
557,695,1,12943.43327
558,666,0,7850.826033
559,584,1,11123.51663
560,584,1,9570.80004
561,584,1,8011.685311
562,584,1,14560.12282
563,695,0,9230.756858
564,584,1,10687.4108
565,695,1,15671.55506
566,584,1,13149.98776
567,584,1,15092.02718
568,695,0,7982.797843
569,859,0,9115.001396
570,584,0,5116.101466
571,666,1,9795.100092
572,584,1,11761.85089
573,695,1,9199.531619
574,770,0,9967.814101
575,584,1,13784.78461
576,666,1,7865.331343
577,770,0,10835.77655
578,584,1,12798.05403
579,695,1,12631.32362
580,695,0,12147.03648
581,666,0,8269.333844
582,584,1,9844.244766
583,584,1,11834.32718
584,584,1,14259.4954
585,584,1,10904.33902
586,770,1,12951.65123
587,584,1,13012.60675
588,584,1,12992.41098
589,695,1,14060.7837
590,770,0,8905.609697
591,770,1,10751.19251
592,695,1,13939.00377
593,584,1,8826.419563
594,695,0,11316.94673
595,584,1,9485.049537
596,584,1,12432.58064
597,770,0,8225.683385
598,695,1,8507.479743
599,695,1,12264.68085
600,584,1,13312.84681
601,584,1,8768.322927
602,695,1,13985.1775
603,584,0,7922.228461
604,859,0,12244.50671
605,695,1,12718.03061
606,584,1,10084.31237
607,695,0,6321.236266
608,584,1,10775.02744
609,584,1,8790.073815
610,770,1,13489.79332
611,695,0,11733.89189
612,770,0,7087.057536
613,584,1,13631.96161
614,584,1,11668.27475
615,666,1,11531.0108
616,584,1,9518.224097
617,695,1,10354.69754
618,584,1,14978.45349
619,584,1,13595.9117
620,666,0,7669.247411
621,770,0,9523.090091
622,666,1,11895.70979
623,770,1,13247.80022
624,770,0,6820.036675
625,584,1,14332.01835
626,859,0,9789.838492
627,666,1,13794.98499
628,584,1,7629.344849
629,584,1,8537.82281
630,666,1,11746.02148
631,695,0,7617.535917
632,584,1,10836.30645
633,584,1,8660.367349
634,695,1,15430.31623
635,584,1,14992.78538
636,584,1,10129.85806
637,695,1,11409.33447
638,695,1,11196.85375
639,584,1,14293.53219
640,584,1,9060.250918
641,695,0,8604.735333
642,584,1,9248.052175
643,695,1,12330.08917
644,666,1,9462.499707
645,695,1,13963.50613
646,695,0,14094.81488
647,584,1,9867.694428
648,584,1,12450.74822
649,695,1,13615.39478
650,584,1,7931.117565
651,584,0,7037.057406
652,584,1,11406.31068
653,695,0,7950.54609
654,770,1,13125.65932
655,695,0,5925.148576
656,584,1,11376.69577
657,689,1,11159.81328
658,666,0,9863.41796
659,584,1,9323.016644
660,584,1,10180.96804
661,584,1,9397.220103
662,695,0,4792.909196
663,584,1,10039.53168
664,695,1,13820.37045
665,584,0,6834.996252
666,666,0,9150.385804
667,584,1,12574.26601
668,666,0,8367.031084
669,695,0,7884.613783
670,584,1,13776.7256
671,695,0,5550.156801
672,695,1,11930.20854
673,584,1,11950.5367
674,695,1,12514.92466
675,695,0,8410.919941
676,695,1,12829.13349
677,584,1,5790.696059
678,584,1,9367.184687
679,695,0,8988.184302
680,859,0,13768.41188
681,584,1,8535.581056
682,584,1,10180.54127
683,695,0,8324.531969
684,695,0,9533.187111
685,584,1,8939.911284
686,584,1,14477.21345
687,695,0,5000.727678
688,584,1,10814.14798
689,666,1,12682.59776
690,695,1,13488.23956
691,859,0,7607.262092
692,584,1,13106.90465
693,584,1,10411.24143
694,695,1,13555.6066
695,859,1,11743.80837
696,695,1,10731.32748
697,584,1,11274.86073
698,770,0,12236.62172
699,695,0,10987.62079
700,666,1,12984.94463
701,584,0,10423.39587
702,695,0,6039.664029
703,695,0,11606.16176
704,584,1,7680.429335
705,584,1,12856.15646
706,584,0,7804.635805
707,584,0,8017.001226
708,584,1,11069.1033
709,695,1,13910.30868
710,584,1,13313.14187
711,584,1,11583.93548
712,584,1,9309.049022
713,584,1,13734.09686
714,666,1,15090.287
715,584,1,10213.16715
716,584,1,10408.20272
717,584,1,11881.12401
718,695,0,7994.462328
719,695,0,8074.465644
720,859,0,10120.69081
721,584,1,9269.401542
722,695,1,13765.20306
723,859,0,8873.291421
724,859,1,13957.9118
725,770,1,16186.8074
726,695,1,9466.107241
727,666,1,13419.59578
728,584,1,9161.825312
729,695,1,12522.75121
730,666,1,12774.83769
731,695,1,12616.87482
732,584,1,14195.70326
733,584,1,10580.00981
734,584,1,18063.75283
735,695,0,6011.11029
736,584,1,9337.523223
737,584,0,11877.91885
738,666,0,7542.069071
739,584,1,7548.912918
740,695,1,13557.15046
741,584,1,9791.3191
742,770,0,10937.43256
743,584,1,11981.85903
744,695,1,14117.40333
745,859,0,11086.04745
746,695,1,11665.59655
747,584,1,6853.556644
748,584,1,10993.9144
749,584,1,14553.08248
750,584,1,14029.27939
751,695,1,9395.031714
752,695,1,10889.56683
753,584,1,7187.196625
754,584,0,7674.322812
755,695,1,13217.28149
756,584,1,13325.47084
757,770,0,8980.389228
758,770,0,10075.78541
759,584,1,10406.09362
760,584,1,12146.61152
761,695,1,10936.90739
762,584,1,10559.98401
763,695,0,8645.536008
764,695,1,14685.15242
765,695,1,11964.23653
766,584,1,9780.611216
767,695,0,9132.813628
768,584,1,11739.97631
769,584,1,10320.55554
770,584,1,10952.96101
771,584,1,8546.188876
772,584,1,11787.58808
773,695,1,14923.6799
774,584,1,14045.33722
775,584,0,6262.744195
776,584,1,12611.33707
777,584,1,7948.071488
778,859,0,8973.462962
779,584,0,5758.885677
780,584,1,10738.14257
781,689,1,12597.09257
782,584,1,11910.91448
783,584,1,7581.993418
784,695,1,12218.54822
785,770,0,12913.29316
786,584,1,13418.98262
787,666,1,9711.012044
788,770,1,13614.74172
789,584,1,10204.03509
790,666,0,10587.88564
791,584,1,12563.49244
792,695,1,11182.68998
793,695,1,12208.41236
794,584,1,12307.3397
795,695,1,13086.21997
796,584,1,9394.912859
797,584,1,10677.21918
798,584,1,11833.44283
799,770,0,11974.30475
800,770,0,10948.46189
801,584,1,10394.20639
802,695,0,7485.192245
803,695,0,10260.19505
804,695,0,9003.834913
805,695,0,8569.788468
806,695,0,8383.840093
807,770,0,9463.615411
808,689,1,10120.17495
809,584,1,7414.897338
810,770,0,11017.9699
811,584,1,12966.46653
812,770,0,8750.995133
813,666,1,11407.30766
814,695,0,7981.997094
815,584,1,6624.029547
816,584,1,12888.22267
817,584,1,9524.079793
818,584,1,9086.483685
819,584,1,9656.752742
820,584,1,12818.58581
821,695,1,11746.87021
822,666,0,9196.863471
823,584,1,13066.37607
824,695,0,6732.825976
825,770,1,10594.98349
826,695,0,7379.967847
827,584,1,11368.52272
828,695,1,10132.777
829,584,1,11910.09737
830,770,0,7701.93534
831,695,1,12525.35015
832,584,0,8444.956278
833,584,1,10786.61263
834,584,1,12520.00196
835,584,1,12234.40509
836,584,1,13398.20053
837,859,0,9046.958652
838,584,1,9629.604138
839,695,1,9985.492937
840,584,1,11856.43228
841,695,1,10830.31044
842,584,1,9478.029839
843,689,0,7460.600504
844,666,1,12655.59557
845,695,1,13700.34054
846,584,1,11516.96947
847,584,1,10178.22256
848,695,1,14658.60284
849,584,1,13331.83419
850,695,0,9936.750155
851,584,1,14626.03677
852,584,1,13199.78549
853,584,1,13964.82344
854,695,1,14599.32905
855,695,0,5756.342465
856,584,1,14329.50834
857,770,0,7622.699302
858,584,1,9108.639586
859,584,1,9088.624128
860,584,1,7199.088655
861,584,0,9621.521903
862,770,1,11596.74648
863,695,0,8767.144422
864,770,0,10401.07992
865,584,1,12080.50906
866,584,1,10846.86046
867,584,1,10555.8625
868,770,1,14717.51759
869,666,0,9601.915423
870,584,1,10016.37815
871,584,1,10919.01031
872,584,0,10110.63269
873,666,0,9560.516464
874,695,0,9352.709889
875,584,1,12254.50385
876,695,0,8576.933329
877,666,1,9833.422549
878,584,1,13561.52328
879,584,1,13129.96084
880,770,1,11786.50393
881,584,1,11580.71215
882,770,1,13630.37058
883,695,0,8245.400853
884,584,1,9352.176484
885,584,1,11265.52646
886,695,1,11501.48583
887,666,1,13431.00636
888,770,0,10939.92477
889,584,1,13463.36252
890,770,0,7135.145934
891,695,1,10555.05707
892,770,0,8817.309841
893,695,1,10352.90844
894,584,1,11511.82437
895,666,1,12884.68396
896,584,1,14057.36293
897,584,1,8313.072313
898,584,1,11543.98739
899,859,0,8809.228653
900,584,1,13347.09868
901,584,1,12715.51963
902,584,1,11510.90374
903,584,1,12421.90853
904,584,1,13794.48922
905,695,0,8656.631555
906,695,1,12140.66574
907,695,1,11528.00497
908,666,1,12036.57487
909,695,0,9080.879426
910,584,1,11853.49586
911,584,1,9398.48231
912,666,1,12642.64115
913,584,1,15177.18946
914,770,0,12834.37146
915,584,1,8400.964906
916,770,1,13247.52174
917,770,0,6929.941417
918,584,1,12368.53465
919,584,1,16577.28285
920,695,0,8981.841562
921,584,1,10233.25891
922,584,0,6669.910185
923,770,1,15135.70284
924,695,1,9434.030087
925,695,0,7916.471503
926,584,1,8798.481901
927,666,1,15677.99519
928,584,1,9013.951049
929,695,1,11776.046
930,695,0,8362.557337
931,584,1,12290.38118
932,695,0,11618.92537
933,770,1,12965.06942
934,695,0,7380.9322
935,584,0,11587.10848
936,584,1,8193.896567
937,770,0,6796.901194
938,584,1,13539.38888
939,584,1,7958.926841
940,584,1,14941.83331
941,584,0,10338.19218
942,859,0,12981.47454
943,695,1,12536.11903
944,859,1,13317.52433
945,695,1,12040.6201
946,666,0,8234.633621
947,584,1,8844.392289
948,584,1,14784.45534
949,584,1,10744.71952
950,584,1,10666.34858
951,695,0,7269.338741
952,695,1,9379.320658
953,695,1,13071.34948
954,584,1,5159.671532
955,859,0,10524.89603
956,666,0,6347.012983
957,584,1,6541.281723
958,584,1,12786.38968
959,695,1,14402.06412
960,584,1,12436.41317
961,584,1,8409.00457
962,695,0,8602.539887
963,584,1,10592.6104
964,584,1,9783.52186
965,695,0,10694.70714
966,584,1,10539.02666
967,584,1,9280.568106
968,584,1,10188.96547
969,584,1,9682.640154
970,770,0,10646.92435
971,695,0,7201.76456
972,584,1,7891.732569
973,666,0,9525.151737
974,584,1,10982.26821
975,695,1,14631.48444
976,770,0,11903.6816
977,584,1,10592.99751
978,584,1,13409.9718
979,695,0,10023.15485
980,584,1,12413.29275
981,770,0,9734.803722
982,584,1,10797.0322
983,859,0,11349.65437
984,584,1,10643.25663
985,584,1,8004.635401
986,584,1,8337.710413
987,584,1,14987.95075
988,695,0,9675.600103
989,584,1,12603.06883
990,584,1,10369.27911
991,770,1,10553.76288
992,584,1,11310.51413
993,584,1,10241.11542
994,859,0,11708.46277
995,695,0,8796.08071
996,584,1,9368.257048
997,695,1,11159.79887
998,584,1,12660.07004
999,666,1,15164.61546
1000,584,1,12451.99948
1001,770,0,7375.158965
1002,770,0,9794.747823
1003,695,1,12872.44459
1004,584,1,15446.72926
1005,695,0,8579.267646
1006,695,0,8339.497573
1007,695,0,5986.45089
1008,584,0,8087.769622
1009,770,0,10171.24216
1010,770,1,12042.54322
1011,584,1,9443.749307
1012,584,1,16186.28312
1013,695,1,15332.16486
1014,584,1,13304.82811
1015,695,0,7112.172551
1016,584,1,10828.68449
1017,695,1,8855.708935
1018,770,0,10053.99301
1019,695,0,8795.997179
1020,695,1,10803.26035
1021,695,1,11807.80334
1022,584,1,7897.01864
1023,770,0,9017.868049
1024,584,1,13086.65487
1025,695,0,11066.74681
1026,584,1,8436.290436
1027,770,0,9138.192179
1028,859,1,13917.01065
1029,584,1,10488.74837
1030,584,1,12115.31328
1031,695,0,8243.356878
1032,770,0,6565.589794
1033,584,1,9426.993123
1034,770,1,13566.09892
1035,695,1,13819.66234
1036,770,0,8416.431607
1037,584,1,12056.47452
1038,770,0,10313.80917
1039,695,1,10175.7015
1040,770,1,13003.21835
1041,770,1,14618.17888
1042,770,0,9826.430621
1043,695,0,8839.463532
1044,695,0,9386.968641
1045,584,1,10737.71349
1046,584,1,14356.99926
1047,584,0,8523.002316
1048,584,1,11739.81202
1049,666,0,9528.623992
1050,770,0,12574.26114
1051,770,0,9076.747562
1052,584,1,9617.907895
1053,695,1,12842.01912
1054,584,1,10476.69399
1055,770,0,10153.55677
1056,584,1,11113.2935
1057,584,1,13836.79375
1058,695,1,9410.069759
1059,584,1,8525.4344
1060,584,1,11435.70924
1061,584,1,14198.27763
1062,695,0,8580.547851
1063,666,1,13079.01505
1064,689,1,9067.485468
1065,584,1,9835.341728
1066,695,1,10985.14376
1067,666,1,10731.10041
1068,584,1,11597.64474
1069,584,1,13291.68845
1070,584,1,11434.08168
1071,695,0,6763.628461
1072,695,1,11238.12889
1073,584,1,9716.328457
1074,584,1,10045.41426
1075,695,1,14084.25009
1076,584,1,13748.46475
1077,584,1,10505.89291
1078,584,1,10199.6724
1079,584,1,12719.52742
1080,584,1,15333.26136
1081,584,1,11311.90386
1082,584,1,11680.76031
1083,666,1,16421.76555
1084,695,1,11525.04593
1085,770,0,8745.821025
1086,666,1,12347.00461
1087,770,0,10831.97794
1088,695,1,15219.09212
1089,584,1,11394.52308
1090,584,1,12471.48834
1091,584,1,14104.15656
1092,695,1,11993.87809
1093,584,1,10293.22755
1094,770,1,15477.90126
1095,666,1,14790.9068
1096,584,1,9802.100595
1097,666,0,10082.92974
1098,695,1,11453.5043
1099,584,0,8345.456764
1100,695,1,14182.47325
1101,584,1,14439.17649
1102,695,1,13068.54152
1103,584,1,10399.40428
1104,695,0,7714.370254
1105,695,0,12461.65827
1106,584,1,13785.46598
1107,695,1,13458.71574
1108,695,0,8890.844355
1109,695,1,10400.6665
1110,770,0,7497.776215
1111,770,0,7299.017068
1112,584,0,7123.391154
1113,695,1,11495.37389
1114,695,0,10491.53543
1115,584,1,9577.250517
1116,584,1,13980.07642
1117,584,0,8496.730114
1118,584,0,9851.079848
1119,695,1,12000.54798
1120,695,1,16102.0658
1121,770,1,10955.92963
1122,584,0,10029.94895
1123,695,1,10760.49978
1124,695,0,9477.069123
1125,584,1,6058.816955
1126,584,1,10869.12777
1127,584,1,9941.545102
1128,695,1,9123.202576
1129,695,1,12767.27742
1130,584,1,11097.84428
1131,584,0,9680.454353
1132,695,1,9262.822633
1133,695,1,10462.6962
1134,584,1,6261.880012
1135,770,0,10499.55469
1136,666,1,13957.77376
1137,695,1,11097.92747
1138,695,0,10173.50103
1139,584,1,12577.51029
1140,584,1,11812.8135
1141,695,1,11769.39966
1142,695,1,9072.56797
1143,666,1,14091.30141
1144,584,1,11574.85168
1145,584,1,10626.00843
1146,584,1,10941.57049
1147,584,1,9922.493576
1148,770,0,8137.424642
1149,695,0,8871.89338
1150,584,1,10648.37707
1151,584,1,9433.329837
1152,584,1,12879.52819
1153,695,0,6536.147432
